id,employee_id,emp_code,date,check_in_time,check_out_time,shift_id,expected_start_time,expected_end_time,total_working_minutes,total_working_hours,is_present,is_late,is_early_departure,late_minutes,early_departure_minutes,status,notes,created_at,updated_at,processed_by,leave_id,leave_type,holiday_name
29,6,2618,2025-04-28,2025-04-28 08:12:47.000000,2025-04-28 17:05:28.000000,1.0,08:00:00.000000,17:00:00.000000,532,8.87,1,1,0,12,0,present,,2025-06-23 13:54:04.137045,2025-06-25 17:01:12.222236,,,,
30,6,2618,2025-04-29,2025-04-29 07:44:21.000000,2025-04-29 17:04:41.000000,1.0,08:00:00.000000,17:00:00.000000,560,9.33,1,0,0,0,0,present,,2025-06-23 13:54:04.165657,2025-06-25 17:01:12.235156,,,,
31,6,2618,2025-04-30,,,1.0,,,0,0.0,0,0,0,0,0,absent,,2025-06-23 13:54:04.183385,2025-06-25 17:01:12.248567,,,,
32,6,2618,2025-05-01,,,1.0,,,0,0.0,0,0,0,0,0,absent,,2025-06-23 13:54:06.758483,2025-06-25 17:01:15.021837,,,,
33,6,2618,2025-05-02,2025-05-02 08:13:26.000000,2025-05-02 17:04:19.000000,1.0,08:00:00.000000,17:00:00.000000,530,8.83,1,1,0,13,0,present,,2025-06-23 13:54:06.767966,2025-06-25 17:01:15.033564,,,,
34,6,2618,2025-05-03,,,1.0,,,0,0.0,0,0,0,0,0,absent,,2025-06-23 13:54:06.776452,2025-06-25 17:01:15.045555,,,,
35,6,2618,2025-05-04,,,1.0,,,0,0.0,1,0,0,0,0,day_off,,2025-06-23 13:54:06.786334,2025-06-25 17:01:15.056548,,,,
36,6,2618,2025-05-05,2025-05-05 08:01:07.000000,2025-05-05 17:03:53.000000,1.0,08:00:00.000000,17:00:00.000000,542,9.03,1,1,0,1,0,present,,2025-06-23 13:54:06.796459,2025-06-25 17:01:15.067816,,,,
37,6,2618,2025-05-06,2025-05-06 08:51:08.000000,2025-05-06 17:10:05.000000,1.0,08:00:00.000000,17:00:00.000000,498,8.3,1,1,0,51,0,late,,2025-06-23 13:54:06.805580,2025-06-25 17:01:15.078942,,,,
38,6,2618,2025-05-07,2025-05-07 08:47:59.000000,2025-05-07 16:59:29.000000,1.0,08:00:00.000000,17:00:00.000000,491,8.18,1,1,1,47,0,late,,2025-06-23 13:54:06.815020,2025-06-25 17:01:15.090385,,,,
39,6,2618,2025-05-08,2025-05-08 07:56:56.000000,2025-05-08 17:08:54.000000,1.0,08:00:00.000000,17:00:00.000000,551,9.18,1,0,0,0,0,present,,2025-06-23 13:54:06.824673,2025-06-25 17:01:15.102663,,,,
40,6,2618,2025-05-09,2025-05-09 08:04:44.000000,2025-05-09 16:53:53.000000,1.0,08:00:00.000000,17:00:00.000000,529,8.82,1,1,1,4,6,present,,2025-06-23 13:54:06.835430,2025-06-25 17:01:15.115153,,,,
41,6,2618,2025-05-10,2025-05-10 09:09:39.000000,2025-05-10 13:07:30.000000,1.0,09:00:00.000000,13:00:00.000000,237,3.95,1,1,0,9,0,present,,2025-06-23 13:54:06.845001,2025-06-25 17:01:15.127376,,,,
42,6,2618,2025-05-11,,,1.0,,,0,0.0,1,0,0,0,0,day_off,,2025-06-23 13:54:06.853863,2025-06-25 17:01:15.143564,,,,
43,6,2618,2025-05-12,2025-05-12 07:52:48.000000,2025-05-12 17:01:56.000000,1.0,08:00:00.000000,17:00:00.000000,549,9.15,1,0,0,0,0,present,,2025-06-23 13:54:06.862978,2025-06-25 17:01:15.155422,,,,
